,age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,label
28,39,4,367260,11,9,0,4,1,4,1,0.0,0.0,80,39, <=50K
29,49,4,193366,11,9,2,3,0,4,1,0.0,0.0,40,39, <=50K
30,23,2,190709,7,12,4,11,1,4,1,0.0,0.0,52,39, <=50K
31,20,4,266015,15,10,4,12,3,2,1,0.0,0.0,44,39, <=50K
32,45,4,386940,9,13,0,4,3,4,1,0.0,0.3232323232323232,40,39, <=50K
33,30,1,59951,15,10,2,1,3,4,1,0.0,0.0,40,39, <=50K
34,22,7,311512,15,10,2,8,0,2,1,0.0,0.0,15,39, <=50K
35,48,4,242406,1,7,4,7,4,4,1,0.0,0.0,40,33, <=50K
36,21,4,197200,15,10,4,7,3,4,1,0.0,0.0,40,39, <=50K
37,19,4,544091,11,9,1,1,5,4,0,0.0,0.0,25,39, <=50K
39,48,6,265477,7,12,2,10,0,4,1,0.0,0.0,40,39, <=50K
40,31,4,507875,6,5,2,7,0,4,1,0.0,0.0,43,39, <=50K
41,53,6,88506,9,13,2,10,0,4,1,0.0,0.0,40,39, <=50K
42,24,4,172987,9,13,2,13,0,4,1,0.0,0.0,50,39, <=50K
43,49,4,94638,11,9,5,1,4,4,0,0.0,0.0,40,39, <=50K
44,25,4,289980,11,9,4,6,1,4,1,0.0,0.0,35,39, <=50K
45,57,1,337895,9,13,2,10,0,2,1,0.0,0.0,40,39, >50K
46,53,4,144361,11,9,2,7,0,4,1,0.0,0.0,38,39, <=50K
47,44,4,128354,12,14,0,4,4,4,0,0.0,0.0,40,39, <=50K
48,41,7,101603,8,11,2,3,0,4,1,0.0,0.0,40,39, <=50K
49,29,4,271466,8,11,4,10,1,4,1,0.0,0.0,43,39, <=50K
50,25,4,32275,15,10,2,4,5,3,0,0.0,0.0,40,39, <=50K
52,47,4,51835,14,15,2,10,5,4,0,0.0,0.43663911845730025,60,16, >50K
53,50,1,251585,9,13,0,4,1,4,1,0.0,0.0,55,39, >50K
54,47,5,109832,11,9,0,4,1,4,1,0.0,0.0,60,39, <=50K
55,43,4,237993,15,10,2,13,0,4,1,0.0,0.0,40,39, >50K
56,46,4,216666,4,3,2,7,0,4,1,0.0,0.0,40,26, <=50K
57,35,4,56352,8,11,2,8,0,4,1,0.0,0.0,40,33, <=50K
58,41,4,147372,11,9,2,1,0,4,1,0.0,0.0,48,39, <=50K
59,30,4,188146,11,9,2,7,0,4,1,0.05013050130501305,0.0,40,39, <=50K
60,30,4,59496,9,13,2,12,0,4,1,0.024070240702407025,0.0,40,39, <=50K
62,48,4,149640,11,9,2,14,0,4,1,0.0,0.0,40,39, <=50K
63,42,4,116632,10,16,2,10,0,4,1,0.0,0.0,45,39, >50K
64,29,4,105598,15,10,0,13,1,4,1,0.0,0.0,58,39, <=50K
65,36,4,155537,11,9,2,3,0,4,1,0.0,0.0,40,39, <=50K
66,28,4,183175,15,10,0,1,1,4,0,0.0,0.0,40,39, <=50K
67,53,4,169846,11,9,2,1,5,4,0,0.0,0.0,40,39, >50K
68,49,5,191681,15,10,2,4,0,4,1,0.0,0.0,50,39, >50K
70,19,4,101509,15,10,4,10,3,4,1,0.0,0.0,32,39, <=50K
71,31,4,309974,9,13,5,12,3,2,0,0.0,0.0,40,39, <=50K
72,29,6,162298,9,13,2,12,0,4,1,0.0,0.0,70,39, >50K
73,23,4,211678,15,10,4,7,1,4,1,0.0,0.0,40,39, <=50K
74,79,4,124744,15,10,2,10,2,4,1,0.0,0.0,20,39, <=50K
75,27,4,213921,11,9,4,8,3,4,1,0.0,0.0,40,26, <=50K
76,40,4,32214,7,12,2,1,0,4,1,0.0,0.0,40,39, <=50K
78,18,4,309634,1,7,4,8,3,4,0,0.0,0.0,22,39, <=50K
79,31,2,125927,5,4,2,5,0,4,1,0.0,0.0,40,39, <=50K
80,18,4,446839,11,9,4,12,1,4,1,0.0,0.0,30,39, <=50K
81,52,4,276515,9,13,2,8,0,4,1,0.0,0.0,40,5, <=50K
82,46,4,51618,11,9,2,8,5,4,0,0.0,0.0,40,39, <=50K
83,59,4,159937,11,9,2,12,0,4,1,0.0,0.0,48,39, <=50K
84,44,4,343591,11,9,0,3,1,4,0,0.14344143441434415,0.0,40,39, >50K
85,53,4,346253,11,9,0,12,3,4,0,0.0,0.0,35,39, <=50K
86,49,2,268234,11,9,2,11,0,4,1,0.0,0.0,40,39, >50K
87,33,4,202051,12,14,2,10,0,4,1,0.0,0.0,50,39, <=50K
88,30,4,54334,6,5,4,12,1,4,1,0.0,0.0,40,39, <=50K
89,43,1,410867,10,16,4,10,1,4,0,0.0,0.0,50,39, >50K
90,57,4,249977,8,11,2,10,0,4,1,0.0,0.0,40,39, <=50K
91,37,4,286730,15,10,0,3,4,4,0,0.0,0.0,40,39, <=50K
92,28,4,212563,15,10,0,7,4,2,0,0.0,0.0,25,39, <=50K
94,34,2,226296,9,13,2,11,0,4,1,0.0,0.0,40,39, >50K
95,29,2,115585,15,10,4,6,1,4,1,0.0,0.0,50,39, <=50K
96,48,6,191277,10,16,2,10,0,4,1,0.0,0.43663911845730025,60,39, >50K
97,37,4,202683,15,10,2,12,0,4,1,0.0,0.0,48,39, >50K
98,48,4,171095,7,12,0,4,4,4,0,0.0,0.0,40,9, <=50K
99,32,1,249409,11,9,4,8,3,2,1,0.0,0.0,40,39, <=50K
100,76,4,124191,12,14,2,4,0,4,1,0.0,0.0,40,39, >50K
101,44,4,198282,9,13,2,4,0,4,1,0.15024150241502415,0.0,60,39, >50K
102,47,6,149116,12,14,4,10,1,4,0,0.0,0.0,50,39, <=50K
103,20,4,188300,15,10,4,13,3,4,0,0.0,0.0,40,39, <=50K
104,29,4,103432,11,9,4,3,1,4,1,0.0,0.0,40,39, <=50K
105,32,5,317660,11,9,2,3,0,4,1,0.07688076880768807,0.0,40,39, >50K
107,30,4,194901,1,7,4,6,3,4,1,0.0,0.0,40,39, <=50K
108,31,2,189265,11,9,4,1,1,4,0,0.0,0.0,40,39, <=50K
109,42,4,124692,11,9,2,6,0,4,1,0.0,0.0,40,39, <=50K
110,24,4,432376,9,13,4,12,2,4,1,0.0,0.0,40,39, <=50K
111,38,4,65324,14,15,2,10,0,4,1,0.0,0.0,40,39, >50K
112,56,6,335605,11,9,2,8,0,4,1,0.0,0.4331955922865014,50,2, >50K
113,28,4,377869,15,10,2,12,5,4,0,0.04064040640406404,0.0,25,39, <=50K
114,36,4,102864,11,9,4,7,3,4,0,0.0,0.0,40,39, <=50K
115,53,4,95647,6,5,2,6,0,4,1,0.0,0.0,50,39, <=50K
116,56,5,303090,15,10,2,12,0,4,1,0.0,0.0,50,39, <=50K
117,49,2,197371,8,11,2,3,0,2,1,0.0,0.0,40,39, >50K
118,55,4,247552,15,10,2,12,0,4,1,0.0,0.0,56,39, <=50K
119,22,4,102632,11,9,4,3,1,4,1,0.0,0.0,41,39, <=50K
120,21,4,199915,15,10,4,8,3,4,0,0.0,0.0,40,39, <=50K
121,40,4,118853,9,13,2,4,0,4,1,0.0,0.0,60,39, <=50K
122,30,4,77143,9,13,4,4,3,2,1,0.0,0.0,40,11, <=50K
123,29,7,267989,9,13,2,10,0,4,1,0.0,0.0,50,39, >50K
124,19,4,301606,15,10,4,8,3,2,1,0.0,0.0,35,39, <=50K
125,47,4,287828,9,13,2,4,5,4,0,0.0,0.0,40,39, >50K
126,20,4,111697,15,10,4,1,3,4,0,0.0,0.39462809917355374,28,39, <=50K
127,31,4,114937,7,12,2,1,0,4,1,0.0,0.0,40,39, >50K
129,39,4,365739,15,10,0,3,1,4,1,0.0,0.0,40,39, <=50K
130,28,4,69621,7,12,4,12,1,4,0,0.0,0.0,60,39, <=50K
131,24,4,43323,11,9,4,8,1,4,0,0.0,0.40449954086317724,40,39, <=50K
132,38,6,120985,11,9,2,3,0,4,1,0.04386043860438604,0.0,35,39, <=50K
133,37,4,254202,9,13,2,12,0,4,1,0.0,0.0,50,39, <=50K
134,46,4,146195,7,12,0,13,1,2,0,0.0,0.0,36,39, <=50K
135,38,1,125933,12,14,2,10,0,4,1,0.0,0.0,40,20, >50K
136,43,6,56920,11,9,2,3,0,4,1,0.0,0.0,60,39, <=50K
137,27,4,163127,8,11,2,1,5,4,0,0.0,0.0,35,39, <=50K
138,20,4,34310,15,10,4,12,3,4,1,0.0,0.0,20,39, <=50K
139,49,4,81973,15,10,2,3,0,1,1,0.0,0.0,40,39, >50K
140,61,5,66614,11,9,2,3,0,4,1,0.0,0.0,40,39, <=50K
141,27,4,232782,15,10,4,12,3,4,0,0.0,0.0,40,39, <=50K
142,19,4,316868,15,10,4,8,3,4,1,0.0,0.0,30,26, <=50K
143,45,4,196584,8,11,4,10,1,4,0,0.0,0.3590449954086318,40,39, >50K
144,70,4,105376,15,10,4,13,2,4,1,0.0,0.0,40,39, <=50K
145,31,4,185814,11,9,4,14,4,2,0,0.0,0.0,30,39, <=50K
146,22,4,175374,15,10,2,8,0,4,1,0.0,0.0,24,39, <=50K
147,36,4,108293,11,9,6,8,4,4,0,0.0,0.0,24,39, <=50K
148,64,4,181232,1,7,2,3,0,4,1,0.0,0.5002295684113865,40,39, <=50K
150,47,2,186009,15,10,0,1,4,4,0,0.0,0.0,38,26, <=50K
151,34,4,198183,11,9,4,1,1,4,0,0.0,0.0,40,39, <=50K
152,33,4,163003,9,13,4,4,2,1,0,0.0,0.0,40,30, <=50K
153,21,4,296158,11,9,4,3,3,4,1,0.0,0.0,35,39, <=50K
155,48,4,187715,11,9,2,3,0,4,1,0.0,0.0,46,39, <=50K
156,23,4,214542,9,13,4,6,1,4,1,0.0,0.0,40,39, <=50K
157,71,6,494223,15,10,5,12,4,2,1,0.0,0.41689623507805323,2,39, <=50K
158,29,4,191535,11,9,0,3,1,4,1,0.0,0.0,60,39, <=50K
159,42,4,228456,9,13,5,8,2,2,1,0.0,0.0,50,39, <=50K
161,25,4,252752,11,9,4,8,4,4,0,0.0,0.0,40,39, <=50K
162,44,5,78374,12,14,0,4,4,1,0,0.0,0.0,40,39, <=50K
163,28,4,88419,11,9,4,4,1,1,0,0.0,0.0,40,9, <=50K
164,45,6,201080,12,14,2,12,0,4,1,0.0,0.0,40,39, >50K
165,36,4,207157,15,10,0,8,4,4,0,0.0,0.0,40,26, <=50K
166,39,1,235485,7,12,4,4,1,4,1,0.0,0.0,42,39, <=50K
167,46,7,102628,12,14,6,11,4,4,1,0.0,0.0,40,39, <=50K
168,18,4,25828,1,7,4,6,3,4,1,0.0,0.0,16,39, <=50K
169,66,2,54826,8,11,6,10,1,4,0,0.0,0.0,20,39, <=50K
170,27,4,124953,11,9,4,8,1,4,1,0.0,0.45454545454545453,40,39, <=50K
171,28,7,175325,11,9,2,11,0,4,1,0.0,0.0,40,39, <=50K
172,51,4,96062,15,10,2,12,0,4,1,0.0,0.45385674931129477,40,39, >50K
173,27,4,428030,9,13,4,3,1,4,1,0.0,0.0,50,39, <=50K
174,28,7,149624,9,13,2,10,0,4,1,0.0,0.0,40,39, >50K
175,27,4,253814,11,9,3,12,4,4,0,0.0,0.0,25,39, <=50K
176,21,4,312956,11,9,4,3,3,2,1,0.0,0.0,40,39, <=50K
177,34,4,483777,11,9,4,6,1,2,1,0.0,0.0,40,39, <=50K
178,18,4,183930,11,9,4,8,3,4,1,0.0,0.0,12,39, <=50K
179,33,4,37274,9,13,2,10,0,4,1,0.0,0.0,65,39, <=50K
180,44,2,181344,15,10,2,4,0,2,1,0.0,0.0,38,39, >50K
181,43,4,114580,15,10,0,1,1,4,0,0.0,0.0,40,39, <=50K
182,30,4,633742,15,10,4,3,1,2,1,0.0,0.0,45,39, <=50K
183,40,4,286370,5,4,2,7,0,4,1,0.0,0.0,40,26, >50K
184,37,1,29054,15,10,2,1,0,4,1,0.0,0.0,42,39, >50K
185,34,4,304030,11,9,2,1,0,2,1,0.0,0.0,40,39, <=50K
186,41,6,143129,9,13,0,4,1,4,0,0.0,0.0,40,39, <=50K
188,31,4,99928,12,14,2,10,5,4,0,0.0,0.0,50,39, <=50K
189,58,7,109567,10,16,2,10,0,4,1,0.0,0.0,1,39, >50K
190,38,4,155222,15,10,0,7,1,2,0,0.0,0.0,28,39, <=50K
191,24,4,159567,15,10,2,7,0,4,1,0.0,0.0,40,39, <=50K
192,41,2,523910,9,13,2,3,0,2,1,0.0,0.0,40,39, <=50K
193,47,4,120939,15,10,2,13,0,4,1,0.0,0.0,45,39, <=50K
194,41,1,130760,9,13,2,13,0,4,1,0.0,0.0,24,39, <=50K
195,23,4,197387,4,3,2,14,2,4,1,0.0,0.0,40,26, <=50K
196,36,4,99374,15,10,0,3,1,4,1,0.0,0.0,40,39, <=50K
197,40,1,56795,12,14,4,4,1,4,0,0.14084140841408413,0.0,55,39, >50K
198,35,4,138992,12,14,2,10,2,4,1,0.07298072980729807,0.0,40,39, >50K
199,24,6,32921,11,9,4,12,1,4,1,0.0,0.0,40,39, <=50K
200,26,4,397317,12,14,4,10,1,4,0,0.0,0.43067033976124885,40,39, <=50K
202,51,4,259323,9,13,2,4,0,4,1,0.0,0.0,50,39, >50K
203,42,2,254817,15,10,4,10,1,4,0,0.0,0.3076216712580349,40,39, <=50K
204,37,7,48211,11,9,0,1,4,4,0,0.0,0.0,35,39, <=50K
205,18,4,140164,1,7,4,12,3,4,0,0.0,0.0,40,39, <=50K
206,36,4,128757,9,13,2,8,0,2,1,0.07298072980729807,0.0,36,39, >50K
207,35,4,36270,11,9,0,3,1,4,1,0.0,0.0,60,39, <=50K
208,58,5,210563,11,9,2,12,5,4,0,0.15024150241502415,0.0,35,39, >50K
209,17,4,65368,1,7,4,12,3,4,0,0.0,0.0,12,39, <=50K
210,44,2,160943,11,9,2,14,0,2,1,0.0,0.0,40,39, <=50K
211,37,4,208358,11,9,2,3,0,4,1,0.0,0.0,40,39, >50K
212,35,4,153790,15,10,4,12,1,0,0,0.0,0.0,40,39, <=50K
213,60,4,85815,11,9,2,3,0,1,1,0.0,0.0,40,39, <=50K
214,54,5,125417,5,4,2,7,0,4,1,0.0,0.0,40,39, >50K
215,37,4,635913,9,13,4,4,1,2,1,0.0,0.0,60,39, >50K
216,50,4,313321,7,12,0,12,1,4,0,0.0,0.0,40,39, <=50K
217,38,4,182609,9,13,2,12,0,4,1,0.0,0.0,50,31, <=50K
218,45,4,109434,9,13,2,10,0,4,1,0.0,0.0,55,39, <=50K
219,25,4,255004,0,6,4,3,1,4,1,0.0,0.0,40,39, <=50K
220,31,4,197860,15,10,2,6,0,4,1,0.0,0.0,40,39, <=50K
222,90,4,51744,11,9,4,8,1,2,1,0.0,0.5064279155188246,40,39, <=50K
223,54,4,176681,11,9,2,1,0,2,1,0.0,0.0,20,39, <=50K
224,53,2,140359,13,1,4,7,1,4,0,0.0,0.0,35,39, <=50K
225,18,4,243313,11,9,4,12,3,4,0,0.0,0.0,40,39, <=50K
227,66,6,167687,11,9,2,5,0,4,1,0.014090140901409014,0.0,50,39, <=50K
228,75,4,314209,8,11,6,1,1,4,0,0.0,0.0,20,4, <=50K
229,65,4,176796,11,9,0,1,1,4,0,0.0,0.0,40,39, <=50K
230,35,4,538583,1,7,5,14,1,2,1,0.036740367403674035,0.0,40,39, <=50K
231,41,4,130408,11,9,0,12,4,2,0,0.0,0.0,38,39, <=50K
232,25,4,159732,15,10,4,1,1,4,1,0.0,0.0,42,39, <=50K
233,33,4,110978,15,10,0,3,2,3,0,0.0,0.0,40,39, <=50K
234,28,4,76714,14,15,4,10,1,4,1,0.0,0.0,55,39, >50K
235,59,7,268700,11,9,2,8,0,4,1,0.0,0.0,40,39, <=50K
236,40,7,170525,15,10,4,1,1,4,0,0.0,0.0,38,39, <=50K
237,41,4,180138,9,13,2,4,0,4,1,0.0,0.0,50,20, >50K
238,38,2,115076,12,14,2,4,0,4,1,0.0,0.0,70,39, >50K
239,23,4,115458,11,9,4,14,3,4,1,0.0,0.0,40,39, <=50K
240,40,4,347890,9,13,2,10,0,4,1,0.0,0.0,40,39, >50K
241,41,6,196001,11,9,2,8,5,4,0,0.0,0.0,20,39, <=50K
242,24,7,273905,7,12,2,11,0,4,1,0.0,0.0,50,39, <=50K
244,38,4,179488,15,10,0,3,1,4,1,0.0,0.39967860422405876,40,39, <=50K
246,58,4,236596,11,9,2,1,0,4,1,0.0,0.0,45,39, >50K
247,32,4,183916,11,9,4,8,1,4,0,0.0,0.0,34,39, <=50K
248,40,4,207578,7,12,2,13,0,4,1,0.0,0.45385674931129477,60,39, >50K
250,41,4,112763,14,15,2,10,5,4,0,0.0,0.0,40,39, >50K
251,42,4,390781,9,13,2,1,5,2,0,0.0,0.0,40,39, <=50K
252,59,2,171328,0,6,6,8,4,2,0,0.0,0.0,30,39, <=50K
253,19,2,27382,15,10,4,1,3,4,1,0.0,0.0,40,39, <=50K
254,58,4,259014,15,10,4,14,1,4,1,0.0,0.0,20,39, <=50K
255,42,6,303044,11,9,2,5,0,1,1,0.0,0.0,40,1, >50K
256,20,4,117789,11,9,4,8,3,4,0,0.0,0.0,40,39, <=50K
257,32,4,172579,11,9,5,8,1,4,0,0.0,0.0,30,39, <=50K
258,45,4,187666,8,11,6,4,1,4,0,0.0,0.0,45,39, <=50K
259,50,4,204518,5,4,0,3,1,4,1,0.0,0.0,40,39, <=50K
260,36,4,150042,9,13,0,10,3,4,0,0.0,0.0,40,39, <=50K
261,45,4,98092,11,9,2,12,0,4,1,0.0,0.0,60,39, <=50K
262,17,4,245918,1,7,4,8,3,4,1,0.0,0.0,12,39, <=50K
263,59,4,146013,15,10,2,12,0,4,1,0.04064040640406404,0.0,40,39, <=50K
264,26,4,378322,1,7,2,3,0,4,1,0.0,0.0,40,39, <=50K
265,37,5,257295,15,10,2,4,0,1,1,0.0,0.0,75,37, >50K
267,64,4,21174,11,9,2,4,0,4,1,0.0,0.0,40,39, >50K
268,33,4,185480,9,13,4,10,1,4,0,0.0,0.0,45,39, <=50K
269,33,4,222205,11,9,2,3,5,4,0,0.0,0.0,40,39, >50K
270,61,4,69867,11,9,2,4,0,4,1,0.0,0.0,40,39, >50K
271,17,4,191260,6,5,4,8,3,4,1,0.01055010550105501,0.0,24,39, <=50K
272,50,6,30653,12,14,2,5,0,4,1,0.024070240702407025,0.0,98,39, <=50K
273,27,2,209109,12,14,4,10,3,4,1,0.0,0.0,35,39, <=50K
274,30,4,70377,11,9,0,10,3,4,0,0.0,0.0,40,39, <=50K
275,43,4,477983,11,9,2,6,0,2,1,0.0,0.0,40,39, <=50K
276,44,4,170924,15,10,2,3,0,4,1,0.07298072980729807,0.0,40,39, >50K
277,35,4,190174,15,10,4,4,1,4,0,0.0,0.0,40,39, <=50K
278,25,4,193787,15,10,4,13,3,4,0,0.0,0.0,40,39, <=50K
279,24,4,279472,15,10,2,7,5,4,0,0.07298072980729807,0.0,48,39, >50K
280,22,4,34918,9,13,4,10,1,4,0,0.0,0.0,15,11, <=50K
281,42,2,97688,15,10,2,3,0,4,1,0.051780517805178054,0.0,40,39, >50K
282,34,4,175413,7,12,0,12,4,2,0,0.0,0.0,45,39, <=50K
283,60,4,173960,9,13,0,10,1,4,0,0.0,0.0,42,39, <=50K
284,21,4,205759,11,9,4,6,3,4,1,0.0,0.0,40,39, <=50K
285,57,1,425161,12,14,2,12,0,4,1,0.15024150241502415,0.0,40,39, >50K
286,41,4,220531,14,15,2,10,0,4,1,0.0,0.0,60,39, >50K
287,50,4,176609,15,10,0,8,1,4,1,0.0,0.0,45,39, <=50K
288,25,4,371987,9,13,4,4,1,4,0,0.0,0.0,40,39, <=50K
289,50,4,193884,5,4,2,3,0,4,1,0.0,0.0,40,7, <=50K
290,36,4,200352,9,13,2,10,0,4,1,0.0,0.0,45,39, <=50K
291,31,4,127595,11,9,0,10,1,4,0,0.0,0.0,40,39, <=50K
292,29,2,220419,9,13,4,11,1,4,1,0.0,0.0,56,39, <=50K
293,21,4,231931,15,10,4,12,3,4,1,0.0,0.0,45,39, <=50K
294,27,4,248402,9,13,4,13,4,2,0,0.0,0.0,40,39, <=50K
295,65,4,111095,11,9,2,14,0,4,1,0.0,0.0,16,39, <=50K
296,37,5,57424,9,13,0,12,1,4,0,0.0,0.0,60,39, <=50K
298,24,4,278130,11,9,4,3,3,4,1,0.0,0.0,40,39, <=50K
299,38,4,169469,11,9,0,12,1,4,1,0.0,0.0,80,39, <=50K
300,48,4,146268,9,13,2,1,0,4,1,0.07688076880768807,0.0,40,39, >50K
301,21,4,153718,15,10,4,8,1,1,0,0.0,0.0,25,39, <=50K
302,31,4,217460,11,9,2,14,0,4,1,0.0,0.0,45,39, >50K
303,55,4,238638,11,9,2,12,0,4,1,0.04386043860438604,0.0,40,39, >50K
304,24,4,303296,15,10,2,1,5,1,0,0.0,0.0,40,25, <=50K
305,43,4,173321,11,9,0,1,1,4,0,0.0,0.0,40,39, <=50K
306,26,4,193945,7,12,4,13,1,4,1,0.0,0.0,45,39, <=50K
307,46,4,83082,7,12,4,10,1,4,0,0.0,0.0,33,39, <=50K
308,35,4,193815,7,12,2,1,0,4,1,0.0,0.0,40,39, >50K
309,41,5,34987,15,10,2,5,0,4,1,0.0,0.0,54,39, >50K
310,26,4,59306,9,13,4,12,1,4,1,0.0,0.0,40,39, <=50K
311,34,4,142897,12,14,2,4,0,1,1,0.07298072980729807,0.0,35,36, >50K
313,36,6,205607,9,13,0,10,1,2,0,0.0,0.0,40,39, >50K
314,22,4,199698,15,10,4,12,3,4,1,0.0,0.0,15,39, <=50K
315,24,4,191954,15,10,4,7,1,4,1,0.0,0.0,40,39, <=50K
316,77,6,138714,15,10,2,12,0,4,1,0.0,0.0,40,39, <=50K
317,22,4,399087,4,3,2,7,2,4,0,0.0,0.0,40,26, <=50K
318,29,4,423158,15,10,4,13,1,4,0,0.0,0.0,40,39, <=50K
319,62,4,159841,11,9,6,8,1,4,0,0.0,0.0,24,39, <=50K
320,39,6,174308,11,9,2,4,0,4,1,0.0,0.0,40,39, <=50K
321,43,4,50356,15,10,2,3,0,4,1,0.0,0.3409090909090909,50,39, <=50K
322,35,4,186110,11,9,0,14,1,4,1,0.0,0.0,45,39, <=50K
323,29,4,200381,1,7,4,4,1,4,0,0.0,0.0,40,39, <=50K
324,76,6,174309,12,14,2,3,0,4,1,0.0,0.0,10,39, <=50K
325,63,6,78383,11,9,2,5,0,4,1,0.0,0.0,45,39, <=50K
327,43,4,187728,15,10,2,10,5,4,0,0.0,0.4331955922865014,50,39, >50K
328,58,6,321171,11,9,2,6,0,4,1,0.0,0.0,40,39, <=50K
329,66,4,127921,11,9,4,14,1,4,1,0.02050020500205002,0.0,55,39, <=50K
330,41,4,206565,15,10,4,3,1,2,1,0.0,0.0,45,39, <=50K
331,26,4,224563,9,13,4,1,1,4,1,0.0,0.0,40,39, <=50K
332,47,4,178686,8,11,4,8,1,4,1,0.0,0.0,40,39, <=50K
333,55,2,98545,0,6,2,1,0,4,1,0.0,0.0,40,39, <=50K
334,53,4,242606,11,9,2,14,0,4,1,0.0,0.0,40,39, <=50K
335,17,4,270942,4,3,4,8,2,4,1,0.0,0.0,48,26, <=50K
336,30,4,94235,11,9,4,3,2,4,1,0.0,0.0,40,39, <=50K
337,49,4,71195,12,14,4,10,1,4,1,0.0,0.0,60,39, <=50K
338,19,4,104112,11,9,4,12,4,2,1,0.0,0.0,30,14, <=50K
339,45,4,261192,11,9,2,8,0,2,1,0.0,0.0,40,39, <=50K
340,26,4,94936,7,12,4,12,1,4,1,0.0,0.0,40,39, <=50K
341,38,4,296478,8,11,2,3,0,4,1,0.07298072980729807,0.0,40,39, >50K
342,36,7,119272,11,9,2,11,0,4,1,0.07298072980729807,0.0,40,39, >50K
343,33,4,85043,11,9,4,5,1,4,1,0.0,0.0,20,39, <=50K
344,22,7,293364,15,10,4,11,3,2,0,0.0,0.0,40,39, <=50K
345,43,6,241895,9,13,4,12,1,4,1,0.0,0.0,42,39, <=50K
348,56,4,101128,7,12,3,8,1,4,1,0.0,0.0,25,20, <=50K
349,31,4,156464,9,13,4,10,3,4,1,0.0,0.0,25,39, <=50K
350,33,4,117963,9,13,2,4,0,4,1,0.0,0.0,40,39, >50K
351,26,4,192262,11,9,2,8,0,4,1,0.0,0.0,40,39, <=50K
352,33,4,111363,9,13,2,4,0,4,1,0.0,0.0,40,39, >50K
353,46,2,329752,1,7,2,14,0,4,1,0.0,0.0,30,39, <=50K
355,38,1,95432,11,9,2,1,0,4,1,0.0,0.0,40,39, >50K
356,65,4,161400,1,7,6,8,4,3,1,0.0,0.0,40,39, <=50K
357,40,4,96129,8,11,2,13,0,4,1,0.0,0.0,40,39, >50K
358,42,4,111949,11,9,2,1,5,4,0,0.0,0.0,35,39, <=50K
359,26,6,117125,6,5,2,3,0,4,1,0.0,0.0,40,32, <=50K
360,36,4,348022,0,6,2,8,5,4,0,0.0,0.0,24,39, <=50K
361,62,4,270092,12,14,2,10,0,4,1,0.0,0.0,40,39, >50K
362,43,4,180609,9,13,2,14,0,4,1,0.0,0.0,45,39, <=50K
363,43,4,174575,9,13,0,4,1,4,1,0.0,0.3590449954086318,45,39, >50K
364,22,4,410439,11,9,3,12,1,4,1,0.0,0.0,55,39, <=50K
365,28,4,92262,11,9,2,3,0,4,1,0.0,0.0,40,39, <=50K
366,56,6,183081,15,10,2,12,0,4,1,0.0,0.0,45,39, <=50K
367,22,4,362589,7,12,4,12,1,4,0,0.0,0.0,15,39, <=50K
368,57,4,212448,9,13,0,4,1,4,0,0.0,0.0,45,39, >50K
