,age,fnlwgt,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,workclass_1,workclass_2,workclass_4,workclass_5,workclass_6,workclass_7,workclass_8,education_0,education_1,education_2,education_3,education_4,education_5,education_6,education_7,education_8,education_9,education_10,education_11,education_12,education_13,education_14,education_15,label
25,56,216851,13,2,13,0,4,1,0.0,0.0,40,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, >50K
26,19,168294,9,4,3,3,4,1,0.0,0.0,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, <=50K
28,39,367260,9,0,4,1,4,1,0.0,0.0,80,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, <=50K
29,49,193366,9,2,3,0,4,1,0.0,0.0,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, <=50K
30,23,190709,12,4,11,1,4,1,0.0,0.0,52,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, <=50K
31,20,266015,10,4,12,3,2,1,0.0,0.0,44,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, <=50K
32,45,386940,13,0,4,3,4,1,0.0,0.3232323232323232,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, <=50K
33,30,59951,10,2,1,3,4,1,0.0,0.0,40,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, <=50K
34,22,311512,10,2,8,0,2,1,0.0,0.0,15,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, <=50K
35,48,242406,7,4,7,4,4,1,0.0,0.0,40,33,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, <=50K
36,21,197200,10,4,7,3,4,1,0.0,0.0,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, <=50K
37,19,544091,9,1,1,5,4,0,0.0,0.0,25,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, <=50K
39,48,265477,12,2,10,0,4,1,0.0,0.0,40,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, <=50K
40,31,507875,5,2,7,0,4,1,0.0,0.0,43,39,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, <=50K
41,53,88506,13,2,10,0,4,1,0.0,0.0,40,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, <=50K
42,24,172987,13,2,13,0,4,1,0.0,0.0,50,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, <=50K
43,49,94638,9,5,1,4,4,0,0.0,0.0,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, <=50K
44,25,289980,9,4,6,1,4,1,0.0,0.0,35,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, <=50K
45,57,337895,13,2,10,0,2,1,0.0,0.0,40,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, >50K
46,53,144361,9,2,7,0,4,1,0.0,0.0,38,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, <=50K
47,44,128354,14,0,4,4,4,0,0.0,0.0,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0, <=50K
48,41,101603,11,2,3,0,4,1,0.0,0.0,40,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0, <=50K
49,29,271466,11,4,10,1,4,1,0.0,0.0,43,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0, <=50K
50,25,32275,10,2,4,5,3,0,0.0,0.0,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, <=50K
52,47,51835,15,2,10,5,4,0,0.0,0.43663911845730025,60,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, >50K
53,50,251585,13,0,4,1,4,1,0.0,0.0,55,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, >50K
54,47,109832,9,0,4,1,4,1,0.0,0.0,60,39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, <=50K
55,43,237993,10,2,13,0,4,1,0.0,0.0,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, >50K
56,46,216666,3,2,7,0,4,1,0.0,0.0,40,26,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, <=50K
57,35,56352,11,2,8,0,4,1,0.0,0.0,40,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0, <=50K
58,41,147372,9,2,1,0,4,1,0.0,0.0,48,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, <=50K
59,30,188146,9,2,7,0,4,1,0.05013050130501305,0.0,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, <=50K
60,30,59496,13,2,12,0,4,1,0.024070240702407025,0.0,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, <=50K
62,48,149640,9,2,14,0,4,1,0.0,0.0,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, <=50K
63,42,116632,16,2,10,0,4,1,0.0,0.0,45,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0, >50K
64,29,105598,10,0,13,1,4,1,0.0,0.0,58,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, <=50K
65,36,155537,9,2,3,0,4,1,0.0,0.0,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, <=50K
66,28,183175,10,0,1,1,4,0,0.0,0.0,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, <=50K
67,53,169846,9,2,1,5,4,0,0.0,0.0,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, >50K
68,49,191681,10,2,4,0,4,1,0.0,0.0,50,39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, >50K
70,19,101509,10,4,10,3,4,1,0.0,0.0,32,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, <=50K
71,31,309974,13,5,12,3,2,0,0.0,0.0,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, <=50K
72,29,162298,13,2,12,0,4,1,0.0,0.0,70,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, >50K
73,23,211678,10,4,7,1,4,1,0.0,0.0,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, <=50K
74,79,124744,10,2,10,2,4,1,0.0,0.0,20,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, <=50K
75,27,213921,9,4,8,3,4,1,0.0,0.0,40,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, <=50K
76,40,32214,12,2,1,0,4,1,0.0,0.0,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, <=50K
78,18,309634,7,4,8,3,4,0,0.0,0.0,22,39,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, <=50K
79,31,125927,4,2,5,0,4,1,0.0,0.0,40,39,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0, <=50K
80,18,446839,9,4,12,1,4,1,0.0,0.0,30,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, <=50K
81,52,276515,13,2,8,0,4,1,0.0,0.0,40,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, <=50K
82,46,51618,9,2,8,5,4,0,0.0,0.0,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, <=50K
83,59,159937,9,2,12,0,4,1,0.0,0.0,48,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, <=50K
84,44,343591,9,0,3,1,4,0,0.14344143441434415,0.0,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, >50K
85,53,346253,9,0,12,3,4,0,0.0,0.0,35,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, <=50K
86,49,268234,9,2,11,0,4,1,0.0,0.0,40,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, >50K
87,33,202051,14,2,10,0,4,1,0.0,0.0,50,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0, <=50K
88,30,54334,5,4,12,1,4,1,0.0,0.0,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, <=50K
89,43,410867,16,4,10,1,4,0,0.0,0.0,50,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0, >50K
90,57,249977,11,2,10,0,4,1,0.0,0.0,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0, <=50K
91,37,286730,10,0,3,4,4,0,0.0,0.0,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, <=50K
92,28,212563,10,0,7,4,2,0,0.0,0.0,25,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, <=50K
94,34,226296,13,2,11,0,4,1,0.0,0.0,40,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, >50K
95,29,115585,10,4,6,1,4,1,0.0,0.0,50,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, <=50K
96,48,191277,16,2,10,0,4,1,0.0,0.43663911845730025,60,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0, >50K
97,37,202683,10,2,12,0,4,1,0.0,0.0,48,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, >50K
98,48,171095,12,0,4,4,4,0,0.0,0.0,40,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, <=50K
99,32,249409,9,4,8,3,2,1,0.0,0.0,40,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, <=50K
100,76,124191,14,2,4,0,4,1,0.0,0.0,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0, >50K
101,44,198282,13,2,4,0,4,1,0.15024150241502415,0.0,60,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, >50K
102,47,149116,14,4,10,1,4,0,0.0,0.0,50,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0, <=50K
103,20,188300,10,4,13,3,4,0,0.0,0.0,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, <=50K
104,29,103432,9,4,3,1,4,1,0.0,0.0,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, <=50K
105,32,317660,9,2,3,0,4,1,0.07688076880768807,0.0,40,39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, >50K
107,30,194901,7,4,6,3,4,1,0.0,0.0,40,39,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, <=50K
108,31,189265,9,4,1,1,4,0,0.0,0.0,40,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, <=50K
109,42,124692,9,2,6,0,4,1,0.0,0.0,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, <=50K
110,24,432376,13,4,12,2,4,1,0.0,0.0,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, <=50K
111,38,65324,15,2,10,0,4,1,0.0,0.0,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, >50K
112,56,335605,9,2,8,0,4,1,0.0,0.4331955922865014,50,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, >50K
113,28,377869,10,2,12,5,4,0,0.04064040640406404,0.0,25,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, <=50K
114,36,102864,9,4,7,3,4,0,0.0,0.0,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, <=50K
115,53,95647,5,2,6,0,4,1,0.0,0.0,50,39,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, <=50K
116,56,303090,10,2,12,0,4,1,0.0,0.0,50,39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, <=50K
117,49,197371,11,2,3,0,2,1,0.0,0.0,40,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0, >50K
118,55,247552,10,2,12,0,4,1,0.0,0.0,56,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, <=50K
119,22,102632,9,4,3,1,4,1,0.0,0.0,41,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, <=50K
120,21,199915,10,4,8,3,4,0,0.0,0.0,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, <=50K
121,40,118853,13,2,4,0,4,1,0.0,0.0,60,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, <=50K
122,30,77143,13,4,4,3,2,1,0.0,0.0,40,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, <=50K
123,29,267989,13,2,10,0,4,1,0.0,0.0,50,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, >50K
124,19,301606,10,4,8,3,2,1,0.0,0.0,35,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, <=50K
125,47,287828,13,2,4,5,4,0,0.0,0.0,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, >50K
126,20,111697,10,4,1,3,4,0,0.0,0.39462809917355374,28,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, <=50K
127,31,114937,12,2,1,0,4,1,0.0,0.0,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, >50K
129,39,365739,10,0,3,1,4,1,0.0,0.0,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, <=50K
130,28,69621,12,4,12,1,4,0,0.0,0.0,60,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, <=50K
131,24,43323,9,4,8,1,4,0,0.0,0.40449954086317724,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, <=50K
132,38,120985,9,2,3,0,4,1,0.04386043860438604,0.0,35,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, <=50K
133,37,254202,13,2,12,0,4,1,0.0,0.0,50,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, <=50K
134,46,146195,12,0,13,1,2,0,0.0,0.0,36,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, <=50K
135,38,125933,14,2,10,0,4,1,0.0,0.0,40,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0, >50K
136,43,56920,9,2,3,0,4,1,0.0,0.0,60,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, <=50K
137,27,163127,11,2,1,5,4,0,0.0,0.0,35,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0, <=50K
138,20,34310,10,4,12,3,4,1,0.0,0.0,20,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, <=50K
139,49,81973,10,2,3,0,1,1,0.0,0.0,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, >50K
140,61,66614,9,2,3,0,4,1,0.0,0.0,40,39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, <=50K
141,27,232782,10,4,12,3,4,0,0.0,0.0,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, <=50K
142,19,316868,10,4,8,3,4,1,0.0,0.0,30,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, <=50K
143,45,196584,11,4,10,1,4,0,0.0,0.3590449954086318,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0, >50K
144,70,105376,10,4,13,2,4,1,0.0,0.0,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, <=50K
145,31,185814,9,4,14,4,2,0,0.0,0.0,30,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, <=50K
146,22,175374,10,2,8,0,4,1,0.0,0.0,24,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, <=50K
147,36,108293,9,6,8,4,4,0,0.0,0.0,24,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, <=50K
148,64,181232,7,2,3,0,4,1,0.0,0.5002295684113865,40,39,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, <=50K
150,47,186009,10,0,1,4,4,0,0.0,0.0,38,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, <=50K
151,34,198183,9,4,1,1,4,0,0.0,0.0,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, <=50K
152,33,163003,13,4,4,2,1,0,0.0,0.0,40,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, <=50K
153,21,296158,9,4,3,3,4,1,0.0,0.0,35,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, <=50K
155,48,187715,9,2,3,0,4,1,0.0,0.0,46,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, <=50K
156,23,214542,13,4,6,1,4,1,0.0,0.0,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, <=50K
157,71,494223,10,5,12,4,2,1,0.0,0.41689623507805323,2,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, <=50K
158,29,191535,9,0,3,1,4,1,0.0,0.0,60,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, <=50K
159,42,228456,13,5,8,2,2,1,0.0,0.0,50,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, <=50K
161,25,252752,9,4,8,4,4,0,0.0,0.0,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, <=50K
162,44,78374,14,0,4,4,1,0,0.0,0.0,40,39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0, <=50K
163,28,88419,9,4,4,1,1,0,0.0,0.0,40,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, <=50K
164,45,201080,14,2,12,0,4,1,0.0,0.0,40,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0, >50K
165,36,207157,10,0,8,4,4,0,0.0,0.0,40,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, <=50K
166,39,235485,12,4,4,1,4,1,0.0,0.0,42,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, <=50K
167,46,102628,14,6,11,4,4,1,0.0,0.0,40,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0, <=50K
168,18,25828,7,4,6,3,4,1,0.0,0.0,16,39,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, <=50K
169,66,54826,11,6,10,1,4,0,0.0,0.0,20,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0, <=50K
170,27,124953,9,4,8,1,4,1,0.0,0.45454545454545453,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, <=50K
171,28,175325,9,2,11,0,4,1,0.0,0.0,40,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, <=50K
172,51,96062,10,2,12,0,4,1,0.0,0.45385674931129477,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, >50K
173,27,428030,13,4,3,1,4,1,0.0,0.0,50,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, <=50K
174,28,149624,13,2,10,0,4,1,0.0,0.0,40,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, >50K
175,27,253814,9,3,12,4,4,0,0.0,0.0,25,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, <=50K
176,21,312956,9,4,3,3,2,1,0.0,0.0,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, <=50K
177,34,483777,9,4,6,1,2,1,0.0,0.0,40,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, <=50K
